"counter","r","version","value"
cpu-cycles,one,n.n,28302668
cpu-cycles,one,n.t,23735650
cpu-cycles,one,n.x,19215933
cpu-cycles,one,t.n,22370062
cpu-cycles,one,t.t,22404268
cpu-cycles,one,t.x,19052619
cpu-cycles,one,x.n,4536819
cpu-cycles,one,x.t,4617454
cpu-cycles,rep,n.n,11745865702
cpu-cycles,rep,n.t,12225454691
cpu-cycles,rep,n.x,8231877578
cpu-cycles,rep,t.n,9520004617
cpu-cycles,rep,t.t,9558049453
cpu-cycles,rep,t.x,6698607903
cpu-cycles,rep,x.n,2582392109
cpu-cycles,rep,x.t,2534669390
mem_load_retired.l3_miss,one,n.n,79822
mem_load_retired.l3_miss,one,n.t,77292
mem_load_retired.l3_miss,one,n.x,2618
mem_load_retired.l3_miss,one,t.n,9475
mem_load_retired.l3_miss,one,t.t,9571
mem_load_retired.l3_miss,one,t.x,2975
mem_load_retired.l3_miss,one,x.n,14976
mem_load_retired.l3_miss,one,x.t,9957
mem_load_retired.l3_miss,rep,n.n,81504321
mem_load_retired.l3_miss,rep,n.t,79956225
mem_load_retired.l3_miss,rep,n.x,13826
mem_load_retired.l3_miss,rep,t.n,1723194
mem_load_retired.l3_miss,rep,t.t,1819842
mem_load_retired.l3_miss,rep,t.x,11539
mem_load_retired.l3_miss,rep,x.n,16884
mem_load_retired.l3_miss,rep,x.t,15832
mem_load_retired.l3_hit,one,n.n,2839
mem_load_retired.l3_hit,one,n.t,2491
mem_load_retired.l3_hit,one,n.x,1713
mem_load_retired.l3_hit,one,t.n,17025
mem_load_retired.l3_hit,one,t.t,13777
mem_load_retired.l3_hit,one,t.x,3288
mem_load_retired.l3_hit,one,x.n,12942
mem_load_retired.l3_hit,one,x.t,7329
mem_load_retired.l3_hit,rep,n.n,229014
mem_load_retired.l3_hit,rep,n.t,226791
mem_load_retired.l3_hit,rep,n.x,7764
mem_load_retired.l3_hit,rep,t.n,18542219
mem_load_retired.l3_hit,rep,t.t,14387723
mem_load_retired.l3_hit,rep,t.x,201251
mem_load_retired.l3_hit,rep,x.n,15937044
mem_load_retired.l3_hit,rep,x.t,17758133
LLC-load-misses,one,n.n,87320
LLC-load-misses,one,n.t,80095
LLC-load-misses,one,n.x,3970
LLC-load-misses,one,t.n,11908
LLC-load-misses,one,t.t,11212
LLC-load-misses,one,t.x,3664
LLC-load-misses,one,x.n,16711
LLC-load-misses,one,x.t,10648
LLC-load-misses,rep,n.n,86633405
LLC-load-misses,rep,n.t,84263398
LLC-load-misses,rep,n.x,15950
LLC-load-misses,rep,t.n,2008926
LLC-load-misses,rep,t.t,1847562
LLC-load-misses,rep,t.x,14057
LLC-load-misses,rep,x.n,16457
LLC-load-misses,rep,x.t,20153
LLC-loads,one,n.n,84991
LLC-loads,one,n.t,92661
LLC-loads,one,n.x,5727
LLC-loads,one,t.n,13446
LLC-loads,one,t.t,24438
LLC-loads,one,t.x,7497
LLC-loads,one,x.n,29543
LLC-loads,one,x.t,25574
LLC-loads,rep,n.n,88437041
LLC-loads,rep,n.t,85780756
LLC-loads,rep,n.x,35594
LLC-loads,rep,t.n,18009851
LLC-loads,rep,t.t,15257817
LLC-loads,rep,t.x,251221
LLC-loads,rep,x.n,14232166
LLC-loads,rep,x.t,13400272
LLC-store-misses,one,n.n,11994
LLC-store-misses,one,n.t,12387
LLC-store-misses,one,n.x,12541
LLC-store-misses,one,t.n,17690
LLC-store-misses,one,t.t,16621
LLC-store-misses,one,t.x,17137
LLC-store-misses,one,x.n,117
LLC-store-misses,one,x.t,103
LLC-store-misses,rep,n.n,23895
LLC-store-misses,rep,n.t,25562
LLC-store-misses,rep,n.x,22560
LLC-store-misses,rep,t.n,1550697
LLC-store-misses,rep,t.t,1634533
LLC-store-misses,rep,t.x,1423582
LLC-store-misses,rep,x.n,1601
LLC-store-misses,rep,x.t,1496
LLC-stores,one,n.n,13618
LLC-stores,one,n.t,13629
LLC-stores,one,n.x,13432
LLC-stores,one,t.n,28309
LLC-stores,one,t.t,28372
LLC-stores,one,t.x,28409
LLC-stores,one,x.n,553
LLC-stores,one,x.t,509
LLC-stores,rep,n.n,79024
LLC-stores,rep,n.t,81305
LLC-stores,rep,n.x,39049
LLC-stores,rep,t.n,16950126
LLC-stores,rep,t.t,17461754
LLC-stores,rep,t.x,17325047
LLC-stores,rep,x.n,21309
LLC-stores,rep,x.t,23306
L1-dcache-load-misses,one,n.n,562537
L1-dcache-load-misses,one,n.t,560027
L1-dcache-load-misses,one,n.x,299441
L1-dcache-load-misses,one,t.n,792921
L1-dcache-load-misses,one,t.t,791950
L1-dcache-load-misses,one,t.x,544343
L1-dcache-load-misses,one,x.n,244603
L1-dcache-load-misses,one,x.t,247113
L1-dcache-load-misses,rep,n.n,262978044
L1-dcache-load-misses,rep,n.t,262979545
L1-dcache-load-misses,rep,n.x,379624
L1-dcache-load-misses,rep,t.n,525167011
L1-dcache-load-misses,rep,t.t,525158105
L1-dcache-load-misses,rep,t.x,262839494
L1-dcache-load-misses,rep,x.n,229660357
L1-dcache-load-misses,rep,x.t,229673498
l1d.replacement,one,n.n,561747
l1d.replacement,one,n.t,566099
l1d.replacement,one,n.x,299242
l1d.replacement,one,t.n,791465
l1d.replacement,one,t.t,794368
l1d.replacement,one,t.x,530232
l1d.replacement,one,x.n,244170
l1d.replacement,one,x.t,244608
l1d.replacement,rep,n.n,262998160
l1d.replacement,rep,n.t,262992497
l1d.replacement,rep,n.x,384523
l1d.replacement,rep,t.n,525163216
l1d.replacement,rep,t.t,525165035
l1d.replacement,rep,t.x,262813811
l1d.replacement,rep,x.n,229678120
l1d.replacement,rep,x.t,229683336
l2_lines_in.all,one,n.n,554743
l2_lines_in.all,one,n.t,554376
l2_lines_in.all,one,n.x,284796
l2_lines_in.all,one,t.n,791282
l2_lines_in.all,one,t.t,787019
l2_lines_in.all,one,t.x,525719
l2_lines_in.all,one,x.n,247440
l2_lines_in.all,one,x.t,248561
l2_lines_in.all,rep,n.n,263578870
l2_lines_in.all,rep,n.t,263587329
l2_lines_in.all,rep,n.x,414169
l2_lines_in.all,rep,t.n,526129554
l2_lines_in.all,rep,t.t,526072655
l2_lines_in.all,rep,t.x,263434234
l2_lines_in.all,rep,x.n,229969082
l2_lines_in.all,rep,x.t,229977091
